APPLICANT_CODE|RESP_TITLE|RESP_NAME_ORG|RESP_FIRST_NAME|RESP_MIDDLE_NAME|RESP_LAST_NAME|RESP_ADDLINE1|RESP_ADDLINE2|RESP_ADDLINE3|RESP_ADDLINE4|RESP_ADDLINE5|RESP_POSTCODE|RESP_EMAIL|RESP_TEL|RESP_MOBILE|ACCOUNT_NUMBER|APPLICATION_CODE|APPLICATION_TEXT1|APPLICATION_TEXT2
|Mr||John||Smith|1 Main Street|Town||||SW1A 1AA|john.smith@example.com|02079460000|07700900001|AC1234567890|MS99003|Text 1|Text 2
APP001|Mr||John||Smith|1 Main Street|Town||||SW1A 1AA|john.smith@example.com|02079460000|07700900001|AC1234567890||Text 1|Text 2
APP002|Mr||John||Smith|1 Main Street|Town||||SW1A 1AA|not-an-email|02079460000|07700900001|AC1234567890|MS99003|Text 1|Text 2
APP003|Mr||John||Smith|1 Main Street|Town||||SW1A 1AA|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@example.com|02079460000|07700900001|AC1234567890|MS99003|Text 1|Text 2
APP012|Mr||James|Edward Thomas|Hargreaves037194|037194 Park Road|Birmingham|Handsworth|Birchfield|West Midlands|B1 1BB|james.hargreaves-037194@test.cgi.com|0207-946-000A|07700 900002|AC-037194-2|EF99007|£500.00|
APP005|Mr||John||Smith|1 Main Street|Town||||SW1A 1AA9|john.smith@example.com|02079460000|07700900001|AC1234567890|MS99003|Text 1|Text 2
APP-NOTFOUND|Mr||John||Smith|1 Main Street|Town||||SW1A 1AA|john.smith@example.com|02079460000|07700900001|AC1234567890|MS99003|Text 1|Text 2
APP006|Mr||John||Smith|1 Main Street|Town||||SW1A 1AA|john.smith@example.com|02079460000|07700900001|AC1234567890|AC-NOTFOUND|Text 1|Text 2
APP007|Mr||||||Town||||SW1A 1AA|john.smith@example.com|02079460000|07700900001|AC1234567890|MS99003|Text 1|Text 2
APP008|Mr||John||Smith|1 Main Street|Town||||SW1A 1AA|john.smith@example.com|02079460000|07700900001|AC1234567890|MS99003||
APP009|Mr||John||Smith|1 Main Street|Town||||SW1A 1AA|john.smith@example.com|02079460000|07700900001|AC1234567890|MS99003|Text 1
