APPLICANT_CODE|RESP_TITLE|RESP_NAME_ORG|RESP_FORENAME1|RESP_FORENAME2|RESP_FORENAME3|RESP_SURNAME|RESP_ADDLINE1|RESP_ADDLINE2|RESP_ADDLINE3|RESP_ADDLINE4|RESP_ADDLINE5|RESP_POSTCODE|RESP_EMAIL|RESP_TEL|RESP_MOBILE|ACCOUNT_NUMBER|APPLICATION_CODE|APPLICATION_TEXT1|APPLICATION_TEXT2
APP012||Preview Finance 0001 Ltd|||||1 High Street|Walsall|Darlaston|Walsall|West Midlands|WS1 1SY|preview-finance-0001@test.cgi.com|0207 1234567|07700 900001|PL-0001|SW99062|Benjamin Young|
APP031|Mr||James|Edward|Thomas|Hargreaves0002|2 Park Road|Birmingham|Handsworth|Birchfield|West Midlands|B1 1BB|james.hargreaves-0002@test.cgi.com|0121 9876543|07700 900002|PL-0002|EF99007|£500.00|
APP012||Preview Corporation 0003 Ltd|||||3 Market Road|Walsall|Darlaston|Walsall|West Midlands|WS1 1SY|preview-corporation-0003@test.cgi.com|0207 1234567|07700 900003|PL-0003|RE99001|Test Address 3|
APP031|Mr||John|Smith|Alexander|Taylor0004|4 Station Road|Birmingham|Handsworth|Birchfield|West Midlands|B1 1BB|john.taylor-0004@test.cgi.com|0121 9876543|07700 900004|PL-0004|EF99007|£500.00|
APP012||Preview Finance 0005 Ltd|||||5 High Street|Walsall|Darlaston|Walsall|West Midlands|WS1 1SY|preview-finance-0005@test.cgi.com|0207 1234567|07700 900001|PL-0005|SW99062|Benjamin Young|
APP031|Mr||James|Edward|Thomas|Hargreaves0006|6 Park Road|Birmingham|Handsworth|Birchfield|West Midlands|B1 1BB|james.hargreaves-0006@test.cgi.com|0121 9876543|07700 900002|PL-0006|EF99007|£500.00|
APP012||Preview Corporation 0007 Ltd|||||7 Market Road|Walsall|Darlaston|Walsall|West Midlands|WS1 1SY|preview-corporation-0007@test.cgi.com|0207 1234567|07700 900003|PL-0007|RE99001|Test Address 7|
APP031|Mr||John|Smith|Alexander|Taylor0008|8 Station Road|Birmingham|Handsworth|Birchfield|West Midlands|B1 1BB|john.taylor-0008@test.cgi.com|0121 9876543|07700 900004|PL-0008|EF99007|£500.00|
APP012||Preview Finance 0009 Ltd|||||9 High Street|Walsall|Darlaston|Walsall|West Midlands|WS1 1SY|preview-finance-0009@test.cgi.com|0207 1234567|07700 900001|PL-0009|SW99062|Benjamin Young|
APP031|Mr||James|Edward|Thomas|Hargreaves0010|10 Park Road|Birmingham|Handsworth|Birchfield|West Midlands|B1 1BB|james.hargreaves-0010@test.cgi.com|0121 9876543|07700 900002|PL-0010|EF99007|£500.00|
